neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365
0,0,0,149,1,9,0,6,365
1,1,1,225,1,45,1,2,355
1,2,0,150,3,0,-1,1,365
0,3,1,89,1,270,2,1,194
1,4,1,80,10,9,3,1,0
1,5,1,200,3,74,4,1,129
0,6,0,60,45,49,5,1,0
1,7,0,79,2,430,6,1,220
1,8,0,79,2,118,7,1,0
1,9,1,150,1,160,8,4,188
1,8,1,135,5,53,4,1,6
1,7,0,85,2,188,9,1,39
0,10,0,89,4,167,6,3,314
1,8,0,85,2,113,2,1,333
1,11,1,120,90,27,10,1,0
0,12,1,140,2,148,11,1,46
0,13,1,215,2,198,12,1,321
1,14,0,140,1,260,13,1,12
0,15,1,99,3,53,4,1,21
1,4,1,190,7,0,-1,2,249
0,12,1,299,3,9,14,1,0
0,16,0,130,2,130,13,6,347
0,16,0,80,1,39,15,6,364
0,16,0,110,2,71,16,6,304
0,6,1,120,2,88,17,2,233
0,17,0,60,1,19,9,2,85
1,18,0,80,4,0,-1,1,0
1,7,1,150,10,58,18,1,75
1,18,0,44,3,108,19,3,311
1,19,1,180,14,29,20,1,67
1,2,0,50,3,242,21,3,355
1,2,0,52,2,88,22,1,255
0,20,0,55,4,197,19,3,284
1,2,0,50,3,273,13,3,359
0,6,0,70,1,74,23,2,269
0,10,0,89,4,168,24,3,340
0,6,0,35,60,0,-1,1,365
0,21,1,85,2,231,4,2,22
0,22,0,150,1,0,-1,1,365
1,23,2,40,1,214,2,4,188
1,19,0,68,2,245,24,2,96
0,10,1,120,3,15,25,1,345
0,13,0,120,7,25,26,1,311
1,8,0,135,4,81,27,1,273
1,2,1,150,7,97,28,1,309
0,24,1,150,29,11,29,1,95
2,25,0,130,3,248,13,1,215
0,6,1,110,7,61,30,1,265
0,6,1,115,3,11,31,1,0
0,13,0,80,3,135,32,2,192
0,6,0,80,1,112,27,3,251
1,8,1,151,2,73,33,1,302
0,12,1,228,3,82,34,1,140
0,20,1,144,2,328,11,1,234
1,26,1,200,7,19,35,1,257
0,12,1,150,30,105,4,1,30
1,23,0,110,5,19,36,1,301
1,7,0,69,2,289,8,2,294
0,20,0,49,4,138,37,3,320
1,27,1,180,30,21,11,1,154
0,12,0,80,2,42,38,1,263
1,14,1,375,180,5,39,1,180
1,28,1,250,2,66,40,2,231
0,29,1,200,30,143,41,2,297
0,3,0,55,7,27,42,2,292
1,7,0,52,30,191,43,1,191
0,16,1,225,3,4,44,1,0
1,19,0,80,1,338,13,2,72
0,12,1,275,1,148,9,1,362
1,19,0,99,1,106,24,2,336
1,4,1,225,4,190,9,1,215
1,19,1,230,9,49,45,1,116
1,7,0,51,7,23,21,1,88
1,30,0,65,2,49,46,2,336
0,3,0,105,2,105,47,1,304
1,19,1,190,5,21,48,1,224
1,28,0,200,1,142,49,1,322
2,31,0,70,30,25,50,1,324
0,13,0,95,3,143,27,1,132
1,14,0,150,3,167,51,1,295
0,12,0,145,3,61,52,4,238
1,2,1,110,31,54,53,1,209
1,23,1,285,5,70,38,1,328
0,22,1,130,6,16,19,1,38
1,23,0,94,30,94,54,1,188
0,32,1,800,1,25,55,1,7
0,12,1,105,3,61,56,1,272
1,19,0,60,3,194,38,1,26
1,19,0,50,1,2,57,1,0
0,12,0,85,3,174,4,4,288
0,21,0,65,4,24,58,1,317
0,29,1,131,4,166,59,1,207
0,3,0,98,7,16,50,6,185
0,29,1,250,7,21,1,1,158
0,12,1,100,5,168,60,1,0
0,21,1,105,3,118,46,2,9
1,8,1,140,3,81,33,1,198
1,2,0,89,1,1,61,1,365
1,14,0,98,30,30,62,2,364
0,6,1,125,7,139,63,2,311
1,2,0,60,3,11,64,3,219
0,33,1,175,2,233,6,3,342
1,30,0,65,2,68,65,1,312
1,11,1,500,4,46,36,2,243
0,12,0,101,3,335,66,1,152
0,16,1,220,30,88,67,1,9
0,6,1,125,90,162,12,2,137
0,12,1,80,30,29,68,1,222
1,2,0,100,2,170,9,1,346
0,34,1,200,30,19,69,1,208
1,7,0,59,2,334,27,2,279
0,3,0,125,2,19,70,6,250
1,19,1,140,7,12,71,1,164
0,10,1,120,30,467,72,2,192
1,19,1,350,2,7,73,4,298
1,26,1,199,5,38,74,1,260
0,12,1,325,3,324,9,1,107
1,8,1,235,6,27,75,1,199
1,19,1,225,1,115,76,4,299
0,10,0,99,2,354,77,3,20
1,2,1,170,2,195,13,1,318
0,10,1,400,2,16,72,2,216
1,8,1,170,7,13,47,1,224
1,19,1,100,4,25,78,1,0
0,24,0,75,2,9,79,1,324
0,12,0,90,1,9,80,1,245
1,28,1,150,5,21,81,1,189
1,30,0,85,15,36,82,1,307
0,6,0,70,3,63,83,2,310
1,2,1,120,3,155,84,3,213
0,3,0,89,3,260,85,1,278
1,19,1,185,5,73,86,1,209
0,20,0,50,3,193,77,1,0
1,23,1,105,3,32,22,1,16
1,7,0,130,2,50,58,3,234
1,11,1,115,29,26,13,1,12
0,35,0,77,2,2,15,1,178
0,3,0,76,2,426,6,3,275
0,6,1,125,3,227,9,2,163
0,3,0,135,4,84,13,3,365
0,20,1,250,29,3,87,1,34
0,12,1,199,3,10,88,1,280
0,36,1,140,2,4,89,1,0
2,37,0,140,2,1,90,1,1
0,6,1,115,3,124,84,2,170
0,12,1,160,3,11,16,1,188
0,12,1,195,4,240,32,1,214
1,19,1,195,3,30,32,1,248
0,12,0,80,3,200,4,4,262
0,13,0,44,8,27,11,5,280
1,11,0,156,4,79,4,1,307
0,29,0,85,15,9,91,1,339
0,12,0,125,3,155,28,1,1
0,29,1,115,15,4,92,1,269
1,4,0,69,2,34,93,1,10
1,11,1,225,45,134,94,1,312
0,12,1,125,6,27,95,1,189
1,28,1,219,4,126,47,2,290
0,38,1,475,3,23,96,1,230
1,28,1,99,1,234,97,2,164
0,12,0,69,4,202,51,2,53
2,39,0,79,30,28,98,1,126
0,6,1,135,2,309,4,2,3
0,40,0,250,3,14,99,1,189
1,28,1,250,3,4,100,1,365
0,34,1,250,2,80,49,1,0
1,2,1,80,3,2,101,1,0
0,3,0,70,2,294,6,3,336
0,33,1,165,2,150,46,3,342
3,41,0,70,2,166,28,1,312
0,21,0,50,2,47,17,1,37
4,42,0,40,1,219,102,3,353
0,12,1,150,2,193,103,1,177
1,19,0,125,1,84,9,4,310
1,43,1,196,3,114,84,1,0
0,13,0,110,2,213,6,2,321
1,11,1,170,3,86,21,1,246
1,2,1,165,3,80,58,3,231
1,11,1,150,26,38,104,1,225
1,2,1,100,2,18,105,1,0
0,13,0,65,2,206,38,2,0
2,44,1,350,8,10,23,5,365
1,45,0,99,4,122,83,2,233
0,12,1,200,4,33,54,1,1
0,16,1,150,5,52,29,1,18
0,6,0,90,3,126,106,4,343
0,29,0,120,3,51,6,3,250
1,28,0,75,3,199,6,1,326
0,6,1,175,26,30,107,1,364
1,14,1,125,3,3,108,1,0
1,7,1,275,1,41,47,1,299
1,23,1,299,2,109,19,1,207
0,10,1,135,5,151,4,3,162
1,28,0,130,14,0,-1,2,0
1,23,0,83,1,285,4,1,7
1,14,0,123,1,375,46,1,328
2,46,0,55,2,52,77,2,365
1,7,1,195,5,10,13,1,0
0,6,0,80,2,11,109,1,0
2,47,1,98,30,33,110,5,240
2,44,0,140,7,6,111,5,365
2,47,1,265,7,38,75,5,365
0,12,1,249,2,358,84,2,164
1,7,2,105,6,10,112,1,363
1,2,0,200,30,0,-1,1,365
0,29,0,100,2,226,113,3,250
1,2,1,121,1,104,4,5,247
4,42,0,45,1,138,38,3,323
1,4,0,100,5,204,9,1,192
0,12,1,140,2,253,16,1,125
0,6,0,71,2,23,13,1,91
1,48,0,130,2,115,114,1,75
1,11,1,199,5,129,106,1,286
0,12,0,69,4,82,115,2,60
0,13,0,68,3,37,96,1,0
1,19,1,130,1,204,13,1,192
0,20,1,195,2,69,28,1,58
1,2,0,64,1,192,116,5,245
2,49,1,140,2,17,32,1,292
0,36,1,159,2,222,6,1,279
1,19,1,189,3,205,9,1,0
1,7,1,250,3,94,8,1,3
1,19,1,239,3,7,117,1,351
1,50,1,305,2,108,38,1,201
1,2,1,155,3,222,47,2,232
1,2,0,60,1,458,85,2,258
0,17,0,135,2,21,34,1,272
1,51,0,120,7,17,118,1,341
1,23,1,150,3,41,48,1,244
2,44,1,140,14,1,119,5,365
0,20,1,135,2,69,106,1,12
1,9,1,250,4,18,13,2,265
1,1,1,250,30,82,120,1,0
1,27,1,500,4,94,9,1,329
1,52,1,225,5,10,121,1,91
1,4,1,125,28,183,122,2,365
1,2,0,92,1,189,123,5,253
1,2,0,175,2,1,124,1,365
1,19,1,99,2,127,84,1,320
1,8,1,195,4,4,125,1,0
1,4,1,140,3,135,84,3,192
1,53,1,135,2,21,126,1,0
1,14,1,500,2,35,127,1,348
1,2,0,80,14,10,21,2,0
1,9,0,120,4,171,9,2,353
1,1,1,110,200,92,128,1,140
0,54,1,65,3,238,22,1,2
1,19,1,130,50,56,58,1,56
0,21,1,99,3,111,4,1,68
3,55,0,36,2,193,86,6,360
3,55,0,37,2,147,115,6,0
3,55,0,37,2,177,16,6,320
1,19,1,175,3,185,117,2,326
1,14,1,205,9,62,24,2,76
0,20,1,285,3,124,27,3,279
0,12,0,59,2,181,9,2,15
3,55,0,36,2,333,16,6,340
2,56,1,99,5,441,6,1,226
0,0,0,39,1,45,43,2,365
0,16,0,60,14,9,129,2,0
4,57,0,90,2,0,-1,7,349
4,58,1,105,2,38,59,13,365
0,6,1,135,2,248,86,2,11
1,19,1,390,5,143,17,2,316
0,6,0,70,3,36,130,4,281
1,18,0,75,7,0,-1,2,323
0,12,0,60,17,14,131,4,362
1,19,1,200,3,0,-1,1,0
0,15,0,100,3,279,6,1,301
0,6,0,70,4,18,48,4,189
0,15,0,110,6,50,58,1,0
0,15,0,60,2,227,59,2,287
1,53,1,90,14,1,48,1,14
1,19,0,68,2,203,9,2,86
1,8,1,115,2,210,49,1,261
0,6,0,75,5,64,132,1,68
0,12,0,60,3,0,-1,1,0
1,19,1,129,7,5,64,1,231
0,12,1,130,10,49,11,1,152
0,12,1,95,4,132,33,1,46
1,2,0,75,3,20,48,1,364
0,16,1,175,2,11,133,1,246
0,33,1,190,3,51,13,1,288
0,15,0,49,21,15,38,5,331
1,19,1,212,3,67,86,1,51
1,23,0,95,1,109,9,3,364
0,12,1,140,2,9,134,1,254
1,2,1,135,6,187,9,1,189
0,16,1,150,2,214,9,2,263
